关联目录菜品名称,餐次,单份克数,份量说明,做法标签,口味标签,状态,配餐用途,餐内角色,食材标签,分类依据
藏式肉饼,午餐,200,一个约200g,煎制,咸鲜,待审核,组合组成项,混合主餐,麦及制品|畜肉,肉饼以麦皮包肉馅煎制，作为面肉混合点心。
藏式炒面,午餐,300,一份约300g,炒制,咸鲜,待审核,整餐候选,混合主餐,麦及制品,炒面以面条炒制而成，作为整餐混合主餐。
牦牛肉面汤,午餐,400,一碗约400g,煮制,鲜香,待审核,整餐候选,混合主餐,麦及制品|畜肉,牦牛肉面汤以面条配牦牛肉煮汤，一碗作为整餐。
平南粉汤,午餐,350,一碗约350g,煮制,鲜香,待审核,整餐候选,汤羹,米及制品,粉汤以米制粉条煮汤，一碗作为整餐汤羹。
桂平甜糍粑,午餐|晚餐,150,一份约150g，作为甜点,煎制,甜味,待审核,组合组成项,主食,米及制品,甜糍粑以糯米捣制煎甜，作为米制主食甜点。
北海烤生蚝,加餐,200,一份约200g（4-6只）,烤制,蒜香,待审核,组合组成项,蛋白质菜,虾蟹贝类,烤生蚝以生蚝烤制，作为贝类蛋白质小吃。
壮族五色糯米饭,午餐|晚餐,300,一份约300g,蒸制,原味,待审核,整餐候选,主食,米及制品,五色糯米饭以糯米蒸制，一份作为整餐主食。
玉林腐乳煲,晚餐,300,一份约300g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,大豆及豆制品,腐乳煲以腐乳（豆制品）煲制，作为蛋白质菜肴。
贺州肠粉,午餐|晚餐,250,一份约250g，作为早餐,蒸制,咸鲜,待审核,组合组成项,主食,米及制品,肠粉以米浆蒸制成卷，作为早餐米制主食。
桂林油茶,早餐,250,一碗约250ml，作为早餐,冲泡,原味,待审核,组合组成项,饮品,植物替代饮品,桂林油茶为熬煮茶饮，作为早餐饮品。
百色酸汤鱼,晚餐,400,一份（整鱼），可食部分约400g,煮制,酸辣,待审核,组合组成项,蛋白质菜,鱼类,酸汤鱼以整鱼酸汤煮制，作为鱼类蛋白质主菜。
南宁炸酿豆腐,加餐,150,一份约150g，作为小吃,油炸,咸鲜,待审核,组合组成项,蛋白质菜,大豆及豆制品,酿豆腐以豆腐炸制酿馅，作为豆制品蛋白质小吃。
河池竹筒饭,午餐|晚餐,300,一份约300g,蒸制,原味,待审核,整餐候选,主食,米及制品,竹筒饭以糯米竹筒蒸制，一份作为整餐主食。
武鸣芋头扣肉,晚餐,250,一份约250g,蒸制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉|根菜,扣肉以猪肉配芋头蒸制，作为蛋白质主菜。
螺蛳肉粽,加餐,200,一个约200g，作为小吃,煮制,咸鲜,待审核,组合组成项,混合主餐,米及制品|虾蟹贝类,螺蛳肉粽以糯米包螺蛳肉煮制，作为米贝混合小吃。
酿苦瓜,晚餐,250,一份约250g,蒸制,咸鲜,待审核,组合组成项,蔬菜菜肴,瓜茄类,酿苦瓜以苦瓜酿馅蒸制，作为瓜茄类蔬菜菜肴。
玫瑰花糕,午餐|晚餐,100,一份约100g，作为点心,蒸制,甜味,待审核,组合组成项,主食,麦及制品,玫瑰花糕以麦面配玫瑰蒸制，作为面制糕点。
过桥豆花,午餐,300,一碗约300g,煮制,香辣,待审核,组合组成项,蛋白质菜,大豆及豆制品,豆花以黄豆制成嫩豆花，作为豆制品蛋白质菜肴。
汽锅牛肉,晚餐,300,一份（汽锅），可食部分约300g,蒸制,鲜香,待审核,组合组成项,蛋白质菜,畜肉,汽锅牛肉以牛肉汽锅蒸制，作为畜肉蛋白质主菜。
凉拌米线,午餐|晚餐,300,一碗约300g,凉拌,酸辣,待审核,两者皆可,主食,米及制品,凉拌米线以米制米线凉拌，可作整餐或搭配。
火腿炒饵块,午餐,300,一份约300g,炒制,咸鲜,待审核,整餐候选,混合主餐,米及制品|畜肉,炒饵块以米制饵块配火腿炒制，作为整餐混合主餐。
油炸柿子饼,午餐|晚餐,100,一个约100g，作为小吃,油炸,甜味,待审核,组合组成项,主食,水果|麦及制品,柿子饼以柿子配麦面油炸，作为面制果味点心。
汉中面皮汤,午餐,350,一碗约350g,煮制,香辣,待审核,整餐候选,汤羹,麦及制品,面皮汤以麦面皮煮汤，一碗作为整餐汤羹。
秦腔蒸肉包,早餐,150,一个约150g，作为早餐,蒸制,咸鲜,待审核,组合组成项,混合主餐,麦及制品|畜肉,蒸肉包以麦皮包肉馅蒸制，作为面肉混合点心。
孜然羊肉夹馍,午餐,200,一个约200g,烤制,孜然,待审核,两者皆可,混合主餐,麦及制品|畜肉,夹馍以麦馍夹孜然羊肉，可作整餐或搭配。
岐山醋鱼,晚餐,300,一份（整鱼），可食部分约300g,炖煮,酸辣,待审核,组合组成项,蛋白质菜,鱼类,醋鱼以整鱼醋焖煮制，作为鱼类蛋白质主菜。
新疆炸南瓜饼,午餐|晚餐,100,一份约100g，作为小吃,油炸,甜味,待审核,组合组成项,主食,瓜茄类|麦及制品,南瓜饼以南瓜配麦面油炸，作为面制瓜味点心。
羊肺汤,晚餐,300,一碗约300g（含汤）,煮制,鲜香,待审核,组合组成项,汤羹,动物内脏,羊肺汤以羊肺（内脏）煮汤，作为汤羹。
酸奶米布丁,加餐,200,一份约200g，作为甜品,其他,甜味,待审核,组合组成项,奶及替代品,奶及奶制品|米及制品,米布丁以酸奶配米制甜品，作为奶制品点心。
羊肉馕炒,午餐,300,一份约300g,炒制,孜然,待审核,两者皆可,混合主餐,麦及制品|畜肉,馕炒以麦馕配羊肉炒制，可作整餐或搭配。
新疆抓饭汤,午餐,350,一碗约350g,煮制,孜然,待审核,整餐候选,混合主餐,米及制品|畜肉,抓饭汤以大米配羊肉煮制，一碗作为整餐混合主餐。
荷叶糯米饭,午餐|晚餐,300,一份约300g,蒸制,咸鲜,待审核,整餐候选,主食,米及制品,荷叶糯米饭以糯米荷叶蒸制，一份作为整餐主食。
蟹粉狮子头,晚餐,250,一个约250g,炖煮,鲜香,待审核,组合组成项,蛋白质菜,畜肉|虾蟹贝类,狮子头以猪肉配蟹粉炖煮，作为蛋白质主菜。
香菇烤麸,加餐,150,一份约150g，作为凉菜,其他,咸鲜,待审核,组合组成项,蔬菜菜肴,菌菇|大豆及豆制品,香菇烤麸以香菇配烤麸凉拌，作为素菜。
阳春面,午餐|晚餐,350,一碗约350g,煮制,咸鲜,待审核,整餐候选,主食,麦及制品,阳春面为清汤麦面，一碗作为整餐主食。
上海熏鸭,晚餐,250,一份，可食部分约250g,炖煮,五香,待审核,组合组成项,蛋白质菜,禽肉,熏鸭以鸭熏制炖煮，作为禽肉蛋白质菜肴。
北京地瓜球,加餐,100,一份约100g，作为小吃,油炸,甜味,待审核,组合组成项,其他配菜,薯类,地瓜球以红薯（地瓜）捣泥油炸，作为薯类小吃。
炸肝饼,加餐,100,一份约100g，作为小吃,油炸,咸鲜,待审核,组合组成项,蛋白质菜,动物内脏|麦及制品,炸肝饼以肝脏配面炸制，作为内脏蛋白质小吃。
豆酱面汤,午餐,350,一碗约350g,煮制,咸鲜,待审核,整餐候选,汤羹,麦及制品,豆酱面汤以麦面煮制豆酱汤面，一碗作为整餐汤羹。
炸酱包,午餐|晚餐,100,一个约100g，作为小吃,油炸,咸鲜,待审核,组合组成项,主食,麦及制品,炸酱包以麦面皮裹炸酱炸制，作为面制点心。
京酱肉丝,晚餐,250,一份，可食部分约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,京酱肉丝以猪肉丝酱炒，作为畜肉蛋白质主菜。
石台炒米粿,午餐|晚餐,150,一份约150g，作为小吃,炒制,咸鲜,待审核,组合组成项,主食,米及制品,炒米粿以米制粿条炒制，作为米制小吃。
淮南豆腐面,午餐|晚餐,350,一碗约350g,煮制,鲜香,待审核,整餐候选,主食,麦及制品|大豆及豆制品,豆腐面以面条配豆腐煮制，一碗作为整餐主食。
祁门蒸饺,午餐|晚餐,250,一份约250g（10只）,蒸制,咸鲜,待审核,整餐候选,主食,麦及制品,蒸饺以麦皮包馅蒸制，一份作为整餐主食。
徽州笋干烧肉,晚餐,300,一份，可食部分约300g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,畜肉|花茎类,烧肉以猪肉配笋干炖煮，作为蛋白质主菜。
无为熏鱼,加餐,150,一份约150g，作为凉菜,炖煮,五香,待审核,组合组成项,蛋白质菜,鱼类,熏鱼以鱼熏制，作为鱼类蛋白质凉菜。
山东葱油饼,午餐|晚餐,150,一份约150g，作为早餐,煎制,咸鲜,待审核,组合组成项,主食,麦及制品,葱油饼以麦面葱油煎制，作为早餐主食。
烟台花生酥,加餐,80,一份约80g，作为零食,油炸,甜味,待审核,组合组成项,坚果种子,坚果,花生酥以花生加糖制成，作为坚果零食。
青岛蛤蜊面,午餐,400,一碗约400g,煮制,鲜香,待审核,整餐候选,混合主餐,麦及制品|虾蟹贝类,蛤蜊面以面条配蛤蜊煮制，一碗作为整餐混合主餐。
山东烤鱿鱼串,加餐,150,一份约150g（4-5串）,烤制,孜然,待审核,组合组成项,蛋白质菜,虾蟹贝类,烤鱿鱼串以鱿鱼烤制，作为贝类蛋白质小吃。
鲁式扒鸡,晚餐,300,一份（半只），可食部分约300g,炖煮,五香,待审核,组合组成项,蛋白质菜,禽肉,扒鸡以鸡卤煮扒制，作为禽肉蛋白质菜肴。
扬州三套早,早餐,300,一份约300g，作为早餐,煮制,咸鲜,待审核,整餐候选,混合主餐,米及制品|大豆及豆制品|畜肉,菜名所指扬州早点组合不明确，留待人工确认。
苏州水晶虾仁,晚餐,250,一份，可食部分约250g,炒制,鲜香,待审核,组合组成项,蛋白质菜,虾蟹贝类,水晶虾仁以河虾清炒，作为虾类蛋白质菜肴。
鸭血卷粉,午餐,300,一碗约300g,煮制,鲜香,待审核,整餐候选,混合主餐,米及制品|动物内脏,鸭血卷粉以米制卷粉配鸭血煮制，一碗作为整餐。
无锡糖醋排骨,晚餐,250,一份，可食部分约250g,油炸,酸甜,待审核,组合组成项,蛋白质菜,畜肉,糖醋排骨以猪排糖醋炸制，作为畜肉蛋白质主菜。
扬州狮子头火锅,晚餐,400,一份火锅，食材约400g,煮制,鲜香,待审核,整餐候选,混合主餐,畜肉,狮子头火锅以猪肉丸火锅煮制，一份作为整餐。
马拉糕,午餐|晚餐,100,一份约100g，作为点心,蒸制,甜味,待审核,组合组成项,主食,麦及制品,马拉糕以麦面蒸制发糕，作为面制点心。
虾米韭黄肠粉,早餐,250,一份约250g，作为早餐,蒸制,鲜香,待审核,组合组成项,混合主餐,米及制品|虾蟹贝类,肠粉以米卷配虾米蒸制，作为米贝混合早点。
牛丸汤,午餐,350,一碗约350g（含汤）,煮制,鲜香,待审核,组合组成项,汤羹,畜肉,牛丸汤以牛肉丸煮汤，作为汤羹。
蒜蓉粉丝蒸扇贝,晚餐,200,一份约200g（6只）,蒸制,蒜香,待审核,组合组成项,蛋白质菜,虾蟹贝类,蒸扇贝以扇贝蒜蓉粉丝蒸制，作为贝类蛋白质菜肴。
蛇羹,晚餐,300,一碗约300g（含汤）,煮制,鲜香,待审核,组合组成项,汤羹,菌菇,蛇羹以蛇肉熬制羹汤，作为汤羹（食材类别暂留空）。
四川烤鱼,晚餐,500,一份（整鱼），可食部分约500g,烤制,麻辣,待审核,组合组成项,蛋白质菜,鱼类,烤鱼以整鱼烤制，作为鱼类蛋白质主菜。
担担饭,午餐|晚餐,350,一份约350g,凉拌,麻辣,待审核,整餐候选,主食,米及制品,担担饭以米饭配担担卤拌制，一份作为整餐主食。
四川糍粑,午餐|晚餐,150,一份约150g，作为甜点,煎制,甜味,待审核,组合组成项,主食,米及制品,四川糍粑以糯米捣制煎甜，作为米制主食甜点。
泡椒凤爪,加餐,200,一份约200g，作为小吃,凉拌,酸辣,待审核,组合组成项,蛋白质菜,禽肉,泡椒凤爪以鸡爪泡制，作为禽肉蛋白质小吃。
麻婆茄子,晚餐,300,一份约300g,煮制,麻辣,待审核,组合组成项,蔬菜菜肴,瓜茄类,麻婆茄子以茄子烧拌，作为瓜茄类蔬菜菜肴。
青椒炒肉丝,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉|花茎类,青椒炒肉丝以猪肉丝与青椒为主料，属畜肉蛋白质菜。
蒜薹炒肉丝,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉|花茎类,蒜薹炒肉丝以猪肉丝与蒜薹为主料，属畜肉蛋白质菜。
茭白炒肉丝,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉|根菜,茭白炒肉丝以猪肉丝与茭白为主料，属畜肉蛋白质菜。
冬笋炒肉片,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉|花茎类,冬笋炒肉片以猪肉片与冬笋为主料，属畜肉蛋白质菜。
芦笋炒牛柳,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉|花茎类,芦笋炒牛柳以牛肉与芦笋为主料，属畜肉蛋白质菜。
西芹炒牛肉,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉|花茎类,西芹炒牛肉以牛肉与西芹为主料，属畜肉蛋白质菜。
芦笋炒鸡肉,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,禽肉|花茎类,芦笋炒鸡肉以鸡胸肉与芦笋为主料，属禽肉蛋白质菜。
西兰花炒虾仁,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,虾蟹贝类|花茎类,西兰花炒虾仁以虾仁与西兰花为主料，属虾蟹贝蛋白质菜。
荷兰豆炒腊肉,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉|花茎类,荷兰豆炒腊肉以腊肉与荷兰豆为主料，属畜肉蛋白质菜。
蒜苗炒腊肉,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉|花茎类,蒜苗炒腊肉以腊肉与蒜苗为主料，属畜肉蛋白质菜。
青椒炒腊肠,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉|瓜茄类,青椒炒腊肠以腊肠与青椒为主料，属畜肉蛋白质菜。
腊味炒芥兰,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉|叶菜,腊味炒芥兰以腊味与芥兰为主料，属畜肉蛋白质菜。
粉蒸排骨,晚餐,250,一份约250g,蒸制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉|米及制品,粉蒸排骨以猪排骨裹米粉蒸制，属畜肉蛋白质菜。
清蒸排骨,晚餐,300,一份约300g,蒸制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,清蒸排骨以猪排骨为主料，属畜肉蛋白质菜。
花生炖猪蹄,晚餐,300,一份约300g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,畜肉|坚果,花生炖猪蹄以猪蹄与花生为主料，属畜肉蛋白质菜。
红烧猪蹄,晚餐,300,一份约300g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,红烧猪蹄以猪蹄为主料，属畜肉蛋白质菜。
红烧狮子头,晚餐,250,一份约250g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,红烧狮子头以猪肉丸为主料，属畜肉蛋白质菜。
清蒸狮子头,晚餐,250,一份约250g,蒸制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,清蒸狮子头以猪肉丸为主料，属畜肉蛋白质菜。
糖醋排骨,晚餐,250,一份约250g,油炸,酸甜,待审核,组合组成项,蛋白质菜,畜肉,糖醋排骨以猪排骨为主料，属畜肉蛋白质菜。
椒盐排骨,晚餐,250,一份约250g,油炸,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,椒盐排骨以猪排骨为主料，属畜肉蛋白质菜。
清蒸鲳鱼,晚餐,300,一份约300g整鱼,蒸制,鲜香,待审核,组合组成项,蛋白质菜,鱼类,清蒸鲳鱼以鲳鱼为主料，属鱼类蛋白质菜。
清蒸鲫鱼,晚餐,300,一份约300g整鱼,蒸制,鲜香,待审核,组合组成项,蛋白质菜,鱼类,清蒸鲫鱼以鲫鱼为主料，属鱼类蛋白质菜。
红烧鲫鱼,晚餐,300,一份约300g整鱼,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,鱼类,红烧鲫鱼以鲫鱼为主料，属鱼类蛋白质菜。
红烧带鱼,晚餐,250,一份约250g,油炸,咸鲜,待审核,组合组成项,蛋白质菜,鱼类,红烧带鱼以带鱼为主料，属鱼类蛋白质菜。
干炸带鱼,晚餐,250,一份约250g,油炸,咸鲜,待审核,组合组成项,蛋白质菜,鱼类,干炸带鱼以带鱼为主料，属鱼类蛋白质菜。
糖醋带鱼,晚餐,250,一份约250g,油炸,酸甜,待审核,组合组成项,蛋白质菜,鱼类,糖醋带鱼以带鱼为主料，属鱼类蛋白质菜。
番茄炖鱼,晚餐,350,一份约350g,炖煮,酸甜,待审核,组合组成项,蛋白质菜,鱼类|瓜茄类,番茄炖鱼以鱼与番茄为主料，属鱼类蛋白质菜。
青椒炒猪肝,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,动物内脏|瓜茄类,青椒炒猪肝以猪肝与青椒为主料，属动物内脏蛋白质菜。
溜肝尖,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,动物内脏|花茎类,溜肝尖以猪肝与配菜为主料，属动物内脏蛋白质菜。
卤猪肝,加餐,100,一份约100g,炖煮,五香,待审核,组合组成项,蛋白质菜,动物内脏,卤猪肝以猪肝为主料，属动物内脏蛋白质菜。
白切羊肉,晚餐,250,一份约250g,煮制,原味,待审核,组合组成项,蛋白质菜,畜肉,白切羊肉以羊肉为主料，属畜肉蛋白质菜。
葱爆羊肉片,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉|花茎类,葱爆羊肉片以羊肉与大葱为主料，属畜肉蛋白质菜。
孜然羊肉片,晚餐,250,一份约250g,炒制,孜然,待审核,组合组成项,蛋白质菜,畜肉,孜然羊肉片以羊肉为主料，属畜肉蛋白质菜。
红烧羊肉,晚餐,300,一份约300g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,红烧羊肉以羊肉为主料，属畜肉蛋白质菜。
羊肉萝卜煲,晚餐,350,一份约350g,炖煮,鲜香,待审核,组合组成项,蛋白质菜,畜肉|根菜,羊肉萝卜煲以羊肉与萝卜为主料，属畜肉蛋白质菜。
清炖羊肉,晚餐,350,一份约350g,炖煮,原味,待审核,组合组成项,汤羹,畜肉|根菜,清炖羊肉以羊肉与萝卜炖汤，属畜肉汤羹。
煎牛排,晚餐,200,一份约200g,煎制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,煎牛排以牛肉为主料，属畜肉蛋白质菜。
黑椒牛柳,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,黑椒牛柳以牛肉为主料，属畜肉蛋白质菜。
青椒牛肉丝,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉|瓜茄类,青椒牛肉丝以牛肉与青椒为主料，属畜肉蛋白质菜。
芹菜牛肉丝,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉|花茎类,芹菜牛肉丝以牛肉与芹菜为主料，属畜肉蛋白质菜。
番茄炖牛腩,晚餐,350,一份约350g,炖煮,酸甜,待审核,组合组成项,蛋白质菜,畜肉|瓜茄类,番茄炖牛腩以牛腩与番茄为主料，属畜肉蛋白质菜。
