关联目录菜品名称,餐次,单份克数,份量说明,做法标签,口味标签,状态
酒酿圆子,加餐,250,一碗约250g，作为甜品,煮制,甜味,待审核
黄山烧饼,加餐,100,一份约100g，作为零食,烤制,咸鲜,待审核
一品锅,晚餐,400,一份（锅），可食部分约400g,炖煮,鲜香,待审核
排骨年糕,午餐,350,一份约350g,炖煮,咸鲜,待审核
上海冷面,午餐,300,一份约300g,凉拌,酸甜,待审核
八公山豆腐,午餐,300,一份，可食部分约300g,煮制,鲜香,待审核
上海大馄饨,午餐,300,一碗约300g（8-10只）,煮制,鲜香,待审核
符离集烧鸡,晚餐,300,一份（半只），可食部分约300g,炖煮,五香,待审核
蟹粉面,午餐,300,一碗约300g,煮制,鲜香,待审核
问政山笋,午餐,250,一份约250g,炒制,鲜香,待审核
罗宋汤,晚餐,350,一碗约350g（含汤）,煮制,酸甜,待审核
黄山炖鸽,晚餐,300,一份（砂锅），可食部分约300g,炖煮,鲜香,待审核
上海菜饭,午餐,300,一份约300g,炒制,咸鲜,待审核
李鸿章杂烩,晚餐,350,一份，可食部分约350g,炖煮,鲜香,待审核
四喜烤麸,加餐,150,一份约150g，作为凉菜,凉拌,咸鲜,待审核
毛豆腐,加餐,150,一份约150g，作为小吃,煎制,香辣,待审核
油爆虾,晚餐,250,一份，可食部分约250g,炒制,咸鲜,待审核
臭鳜鱼,晚餐,300,一份（整鱼），可食部分约300g,炖煮,咸鲜,待审核
焦圈,早餐,50,一份约50g，搭配豆汁食用,油炸,原味,待审核
腊味合蒸,晚餐,250,一份，可食部分约250g,蒸制,咸鲜,待审核
奶油炸糕,加餐,100,一份约100g，作为点心,油炸,甜味,待审核
腊八豆腐,加餐,100,一份约100g，作为配餐,其他,五香,待审核
剁椒芋头,午餐,250,一份约250g,蒸制,香辣,待审核
蜜麻花,加餐,80,一份约80g，作为零食,油炸,甜味,待审核
口味虾,晚餐,300,一份，可食部分约300g,炒制,香辣,待审核
豆腐脑,早餐,250,一碗约250g，作为早餐,煮制,咸鲜,待审核
湘西酸鱼,晚餐,250,一份，可食部分约250g,蒸制,酸辣,待审核
酱肘子,晚餐,200,一份，可食部分约200g,炖煮,五香,待审核
萨其马,加餐,80,一份约80g，作为零食,油炸,甜味,待审核
血鸭,晚餐,300,一份，可食部分约300g,炒制,香辣,待审核
常德牛肉粉,午餐,350,一碗约350g,煮制,香辣,待审核
芝麻烧饼,早餐,100,一个约100g，作为早餐,烤制,咸鲜,待审核
湖南米粉,午餐,350,一碗约350g,煮制,香辣,待审核
糖火烧,早餐,100,一个约100g，作为早餐,烤制,甜味,待审核
长沙臭豆腐,加餐,150,一份约150g，作为小吃,油炸,香辣,待审核
麻豆腐,加餐,150,一份约150g，作为小菜,炒制,咸鲜,待审核
炙子烤肉,晚餐,300,一份，可食部分约300g,烤制,孜然,待审核
辣椒炒肉,晚餐,300,一份，可食部分约300g,炒制,香辣,待审核
东安鸡,晚餐,300,一份，可食部分约300g,煮制,酸辣,待审核
面茶,早餐,250,一碗约250ml，作为早餐,冲泡,咸鲜,待审核
湖南腊肉,加餐,100,一份约100g，作为配餐,其他,五香,待审核
麻酱面,午餐,300,一碗约300g,煮制,咸鲜,待审核
冰糖葫芦,加餐,100,一串约100g，作为零食,其他,酸甜,待审核
剁椒鱼头,晚餐,350,一份（鱼头），可食部分约350g,蒸制,香辣,待审核
毛氏红烧肉,晚餐,250,一份，可食部分约250g,炖煮,咸鲜,待审核
豌豆黄,加餐,150,一份约150g，作为甜点,其他,甜味,待审核
爆肚,加餐,200,一份约200g，作为小吃,煮制,咸鲜,待审核
芋泥,加餐,150,一份约150g，作为甜点,蒸制,甜味,待审核
泉州姜母鸭,晚餐,300,一份，可食部分约300g,炖煮,咸鲜,待审核
炒肝,早餐,250,一碗约250g，作为早餐,煮制,咸鲜,待审核
芜湖虾籽面,午餐,300,一碗约300g,煮制,鲜香,待审核
莆田卤面,午餐,350,一碗约350g,煮制,鲜香,待审核
徽州酿豆腐,午餐,250,一份约250g,蒸制,咸鲜,待审核
沙县扁肉,加餐,200,一份约200g，作为小吃,煮制,鲜香,待审核
宿州撒汤,早餐,300,一碗约300ml，作为早餐,煮制,鲜香,待审核
沙县拌面,加餐,200,一份约200g，作为小吃,凉拌,咸鲜,待审核
潮州粥,早餐,350,一碗约350g，作为早餐,煮制,鲜香,待审核
绩溪挞粿,早餐,150,一份约150g，作为早餐,煎制,咸鲜,待审核
潮州牛肉丸,晚餐,250,一份约250g（8-10颗）,煮制,鲜香,待审核
石耳炖鸡,晚餐,350,一份（砂锅），可食部分约350g,炖煮,鲜香,待审核
梅菜扣肉,晚餐,250,一份，可食部分约250g,蒸制,咸鲜,待审核
黄山双石,晚餐,300,一份（砂锅），可食部分约300g,炖煮,鲜香,待审核
方腊鱼,晚餐,300,一份，可食部分约300g,炖煮,鲜香,待审核
盐焗鸡,晚餐,300,一份，可食部分约300g,烤制,咸鲜,待审核
客家擂茶,加餐,250,一碗约250ml，作为饮品,冲泡,原味,待审核
葡萄鱼,晚餐,300,一份（整鱼），可食部分约300g,油炸,酸甜,待审核
大救驾,午餐,250,一份约250g,炒制,咸鲜,待审核
客家酿豆腐,晚餐,250,一份约250g,蒸制,咸鲜,待审核
曹操鸡,晚餐,300,一份，可食部分约300g,炖煮,五香,待审核
红糟鸡,晚餐,300,一份，可食部分约300g,炖煮,咸鲜,待审核
淮南牛肉汤,午餐,350,一碗约350g（含汤）,煮制,鲜香,待审核
荔枝肉,晚餐,250,一份，可食部分约250g,油炸,酸甜,待审核
屯溪醉蟹,加餐,150,一份约150g，作为凉菜,生食,咸鲜,待审核
福建炒饭,午餐,350,一份约350g,炒制,咸鲜,待审核
三河米饺,加餐,150,一份约150g，作为小吃,油炸,咸鲜,待审核
沙茶面,午餐,350,一碗约350g,煮制,鲜香,待审核
无为熏鸭,晚餐,300,一份，可食部分约300g,炖煮,五香,待审核
海蛎煎,加餐,200,一份约200g，作为小吃,煎制,鲜香,待审核
庐州烤鸭,晚餐,300,一份，可食部分约300g,烤制,咸鲜,待审核
福州鱼丸,加餐,200,一碗约200g（含汤）,煮制,鲜香,待审核
佛跳墙,晚餐,300,一盅约300g，作为主菜,炖煮,鲜香,待审核
温州糯米饭,早餐,250,一份约250g，作为早餐,蒸制,咸鲜,待审核
上海炒面,午餐,300,一份约300g,炒制,咸鲜,待审核
衢州鸭头,加餐,200,一份约200g（2-3只）,炖煮,香辣,待审核
宁波年糕汤,午餐,350,一碗约350g,煮制,咸鲜,待审核
红膏炝蟹,加餐,150,一份约150g，作为凉菜,生食,咸鲜,待审核
桂花糯米藕,加餐,150,一份约150g，作为甜点,煮制,甜味,待审核
绍兴臭豆腐,加餐,150,一份约150g，作为小吃,油炸,香辣,待审核
荷叶粉蒸肉,晚餐,250,一份，可食部分约250g,蒸制,咸鲜,待审核
蟹壳黄,加餐,100,一个约100g，作为点心,烤制,咸鲜,待审核
粢饭团,早餐,250,一个约250g，作为早餐,其他,咸鲜,待审核
韭黄鳝丝,晚餐,250,一份，可食部分约250g,炒制,咸鲜,待审核
八宝鸭,晚餐,300,一份（整鸭），可食部分约300g,炖煮,咸鲜,待审核
蜜汁火方,晚餐,200,一份约200g,蒸制,咸鲜,待审核
上海熏鱼,加餐,150,一份约150g，作为凉菜,油炸,咸鲜,待审核
温州鱼丸,加餐,200,一碗约200g（含汤）,煮制,鲜香,待审核
台州麦饼,午餐,200,一个约200g,煎制,咸鲜,待审核
葱油拌面,午餐,300,一碗约300g,凉拌,咸鲜,待审核
上海红烧肉,晚餐,250,一份，可食部分约250g,炖煮,咸鲜,待审核
宁波炒年糕,午餐,300,一份约300g,炒制,咸鲜,待审核
小笼包,午餐,200,一笼约200g（6只）,蒸制,鲜香,待审核
雪菜大汤黄鱼,晚餐,350,一份（整鱼），可食部分约350g,炖煮,鲜香,待审核
生煎包,早餐,200,一锅约200g（4只）,煎制,鲜香,待审核
绍兴醉虾,加餐,150,一份约150g，作为凉菜,生食,咸鲜,待审核
杭州酱鸭,晚餐,250,一份，可食部分约250g,炖煮,咸鲜,待审核
炸响铃,加餐,150,一份约150g，作为小吃,油炸,咸鲜,待审核
绍兴醉鸡,加餐,200,一份约200g，作为凉菜,生食,咸鲜,待审核
西湖牛肉羹,晚餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核
宁波汤圆,加餐,200,一碗约200g，作为甜品,煮制,甜味,待审核
宋嫂鱼羹,晚餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核
嘉兴粽子,早餐,200,一个约200g，作为早餐,煮制,咸鲜,待审核
片儿川,午餐,350,一碗约350g,煮制,鲜香,待审核
闽南薄饼,加餐,150,一份约150g，作为小吃,其他,咸鲜,待审核
龙井虾仁,晚餐,250,一份，可食部分约250g,炒制,鲜香,待审核
泉州萝卜饭,午餐,300,一份约300g,炒制,咸鲜,待审核
西湖醋鱼,晚餐,300,一份（整鱼），可食部分约300g,煮制,酸甜,待审核
东坡肉,晚餐,250,一份，可食部分约250g,炖煮,咸鲜,待审核
石花膏,加餐,250,一碗约250g，作为甜品,其他,甜味,待审核
福州鱼面,午餐,300,一碗约300g,煮制,鲜香,待审核
高邮咸鸭蛋,早餐,70,一个约70g，作为早餐小菜,其他,咸鲜,待审核
软兜长鱼,晚餐,250,一份，可食部分约250g,炒制,咸鲜,待审核
醉排骨,晚餐,250,一份，可食部分约250g,油炸,咸鲜,待审核
漳州卤面,午餐,350,一碗约350g,煮制,鲜香,待审核
银鱼炒蛋,晚餐,200,一份，可食部分约200g,炒制,鲜香,待审核
南京烤鸭,晚餐,300,一份，可食部分约300g,烤制,咸鲜,待审核
崇武鱼卷,加餐,150,一份约150g，作为小吃,油炸,鲜香,待审核
花生汤,加餐,250,一碗约250g，作为甜品,煮制,甜味,待审核
苏式汤面,午餐,350,一碗约350g,煮制,鲜香,待审核
太平燕,午餐,300,一碗约300g,煮制,鲜香,待审核
镇江肴肉,加餐,150,一份约150g，作为凉菜,其他,咸鲜,待审核
五香卷,加餐,100,一份约100g，作为小吃,油炸,五香,待审核
大煮干丝,晚餐,250,一份约250g,煮制,鲜香,待审核
三丁包,早餐,150,一个约150g，作为早餐,蒸制,咸鲜,待审核
土笋冻,加餐,150,一份约150g，作为凉菜,其他,咸鲜,待审核
福州锅边糊,早餐,300,一碗约300g，作为早餐,煮制,鲜香,待审核
蟹黄汤包,午餐,200,一笼约200g（4只）,蒸制,鲜香,待审核
叫花鸡,晚餐,350,一份（整鸡），可食部分约350g,烤制,五香,待审核
福鼎肉片,午餐,300,一碗约300g,煮制,鲜香,待审核
口味螺,加餐,200,一份约200g，作为小吃,炒制,香辣,待审核
鸭血粉丝汤,午餐,400,一碗约400g（含汤）,煮制,鲜香,待审核
无锡排骨,晚餐,250,一份，可食部分约250g,炖煮,咸鲜,待审核
腊肉炒萝卜干,晚餐,250,一份约250g,炒制,咸鲜,待审核
松鼠桂鱼,晚餐,300,一份（整鱼），可食部分约300g,油炸,酸甜,待审核
洞庭甲鱼,晚餐,300,一份，可食部分约300g,炖煮,鲜香,待审核
土家合渣,晚餐,300,一份约300g,煮制,鲜香,待审核
扬州炒饭,午餐,350,一份约350g,炒制,咸鲜,待审核
狮子头,晚餐,250,一个约250g,炖煮,咸鲜,待审核
香辣牛蛙,晚餐,300,一份，可食部分约300g,炒制,香辣,待审核
剁椒蒸茄子,午餐,250,一份约250g,蒸制,香辣,待审核
南京盐水鸭,晚餐,250,一份，可食部分约250g,煮制,咸鲜,待审核
山东大包,早餐,200,一个约200g，作为早餐,蒸制,咸鲜,待审核
酸豆角肉末,午餐,250,一份约250g,炒制,酸辣,待审核
拔丝地瓜,加餐,200,一份约200g，作为甜点,油炸,甜味,待审核
永州啤酒鸭,晚餐,300,一份，可食部分约300g,炖煮,香辣,待审核
孔府一品锅,晚餐,400,一份（锅），可食部分约400g,炖煮,鲜香,待审核
长沙米豆腐,加餐,200,一份约200g，作为小吃,煮制,香辣,待审核
烟台鲅鱼,晚餐,300,一份（整鱼），可食部分约300g,炖煮,咸鲜,待审核
糖油粑粑,加餐,150,一份约150g，作为甜点,油炸,甜味,待审核
湘西土匪鸭,晚餐,300,一份，可食部分约300g,炖煮,香辣,待审核
蓬莱小面,午餐,350,一碗约350g,煮制,鲜香,待审核
周村烧饼,加餐,80,一份约80g，作为零食,烤制,咸鲜,待审核
济南油旋,早餐,100,一个约100g，作为早餐,烤制,咸鲜,待审核
博山豆腐箱,晚餐,250,一份约250g,蒸制,咸鲜,待审核
潍坊朝天锅,晚餐,300,一份，可食部分约300g,煮制,鲜香,待审核
胶东海鲜饺子,午餐,300,一份约300g（12只）,煮制,鲜香,待审核
酱焖黄花鱼,晚餐,300,一份（整鱼），可食部分约300g,炖煮,咸鲜,待审核
一品豆腐,午餐,250,一份约250g,蒸制,鲜香,待审核
山东煎饼,早餐,200,一份约200g，作为早餐,煎制,咸鲜,待审核
四喜丸子,晚餐,250,一份约250g（2个）,炖煮,咸鲜,待审核
油爆海螺,晚餐,250,一份，可食部分约250g,炒制,咸鲜,待审核
油焖大虾,晚餐,300,一份，可食部分约300g,焖制,咸鲜,待审核
辣炒蛤蜊,晚餐,250,一份，可食部分约250g,炒制,香辣,待审核
九转大肠,晚餐,200,一份，可食部分约200g,炖煮,咸鲜,待审核
博山酥锅,晚餐,300,一份约300g,炖煮,咸鲜,待审核
济南把子肉,午餐,250,一份约250g（配米饭）,炖煮,咸鲜,待审核
葱烧海参,晚餐,250,一份，可食部分约250g,炖煮,咸鲜,待审核
奶汤蒲菜,晚餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核
糖醋鲤鱼,晚餐,350,一份（整鱼），可食部分约350g,油炸,酸甜,待审核
德州扒鸡,晚餐,350,一份（半只），可食部分约350g,炖煮,五香,待审核
爆炒腰花,晚餐,250,一份，可食部分约250g,炒制,咸鲜,待审核
淮安平桥豆腐,午餐,250,一碗约250g,煮制,鲜香,待审核
炸灌肠,加餐,150,一份约150g，作为小吃,油炸,咸鲜,待审核
红烧河豚,晚餐,250,一份，可食部分约250g,炖煮,鲜香,待审核
驴肉火烧,午餐,200,一个约200g,烤制,咸鲜,待审核
饺子,午餐,250,一份约250g（12只）,煮制,咸鲜,待审核
黄桥烧饼,加餐,100,一个约100g，作为零食,烤制,咸鲜,待审核
包子,早餐,200,两个约200g，作为早餐,蒸制,咸鲜,待审核
泰州鱼汤面,午餐,350,一碗约350g,煮制,鲜香,待审核
奥灶面,午餐,350,一碗约350g,煮制,咸鲜,待审核
门钉肉饼,午餐,200,一个约200g,煎制,咸鲜,待审核
盱眙十三香龙虾,晚餐,500,一份约500g（约15只）,煮制,香辣,待审核
锅贴,午餐,250,一份约250g（10只）,煎制,咸鲜,待审核
天津麻花,加餐,80,一份约80g，作为零食,油炸,甜味,待审核
徐州地锅鸡,晚餐,400,一份（锅），可食部分约400g,炖煮,香辣,待审核
狗不理包子,早餐,200,一笼约200g（6只）,蒸制,鲜香,待审核
霸王别姬,晚餐,350,一份，可食部分约350g,炖煮,鲜香,待审核
文思豆腐,晚餐,300,一碗约300g（含汤）,煮制,清淡,待审核
驴打滚,加餐,100,一份约100g，作为点心,其他,甜味,待审核
奶黄包,早餐,100,一个约100g，作为早餐,蒸制,甜味,待审核
艾窝窝,加餐,100,一个约100g，作为点心,其他,甜味,待审核
烧乳鸽,晚餐,250,一只约250g,烤制,五香,待审核
