关联目录菜品名称,餐次,单份克数,份量说明,做法标签,口味标签,状态,配餐用途,餐内角色,食材标签,分类依据
烤包子,午餐,150,一个约150g（2个）,烤制,孜然,待审核,两者皆可,混合主餐,麦及制品,烤包子主要食材为麦及面制品，作为含主荤的混合主餐。
宫廷牛肉饼,午餐,150,一份约150g,煎制,咸鲜,待审核,两者皆可,混合主餐,畜肉|麦及制品,宫廷牛肉饼主要食材为畜肉、麦及面制品，作为含主荤的混合主餐。
馕,午餐,200,一份约200g,烤制,原味,待审核,组合组成项,主食,麦及制品,馕主要食材为麦及面制品，作为组合餐主食。
拉条子,午餐,350,一份约350g,煮制,咸鲜,待审核,整餐候选,主食,麦及制品,拉条子主要食材为麦及面制品，作为组合餐主食。
蜂蜜凉粽子,加餐,200,一份约200g，作为甜点,煮制,甜味,待审核,两者皆可,主食,米及制品,蜂蜜凉粽子主要食材为米及米制品，作为组合餐主食。
子长煎饼,早餐,200,一份约200g，作为早餐,煎制,咸鲜,待审核,两者皆可,主食,麦及制品,子长煎饼主要食材为麦及面制品，作为组合餐主食。
抓饭,午餐,350,一份约350g,炒制,孜然,待审核,整餐候选,混合主餐,米及制品|畜肉,抓饭主要食材为米及米制品、畜肉，作为含主荤的混合主餐。
羊肉串,加餐,150,一份约150g（5-6串）,烤制,孜然,待审核,组合组成项,蛋白质菜,畜肉,羊肉串主要食材为畜肉，作为主菜蛋白质。
肉丸胡辣汤,早餐,300,一碗约300g，作为早餐,煮制,香辣,待审核,两者皆可,汤羹,畜肉,肉丸胡辣汤主要食材为畜肉，作为汤羹。
大盘鸡,晚餐,400,一份，可食部分约400g,炖煮,麻辣,待审核,整餐候选,混合主餐,禽肉,大盘鸡主要食材为禽肉，作为含主荤的混合主餐。
葫芦鸡,晚餐,300,一份（整鸡），可食部分约300g,烤制,咸鲜,待审核,组合组成项,蛋白质菜,禽肉,葫芦鸡主要食材为禽肉，作为主菜蛋白质。
手抓羊肉,晚餐,300,一份，可食部分约300g,煮制,原味,待审核,两者皆可,混合主餐,畜肉,手抓羊肉主要食材为畜肉，作为含主荤的混合主餐。
粉蒸肉,晚餐,250,一份，可食部分约250g,蒸制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,粉蒸肉主要食材为畜肉，作为主菜蛋白质。
甘肃酿皮,午餐,250,一份约250g,凉拌,酸辣,待审核,组合组成项,其他配菜,麦及制品,甘肃酿皮主要食材为麦及面制品，作为配菜/点心。
石子馍,加餐,100,一份约100g，作为零食,烤制,原味,待审核,组合组成项,主食,麦及制品,石子馍主要食材为麦及面制品，作为组合餐主食。
兰州牛肉面,午餐,400,一碗约400g（含汤）,煮制,鲜香,待审核,整餐候选,混合主餐,畜肉|麦及制品,兰州牛肉面主要食材为畜肉、麦及面制品，作为含主荤的混合主餐。
黄桂柿子饼,加餐,100,一个约100g，作为点心,煎制,甜味,待审核,组合组成项,主食,麦及制品|水果,黄桂柿子饼主要食材为麦及面制品、水果，作为组合餐主食。
贾三灌汤包,午餐,200,一笼约200g（6只）,蒸制,鲜香,待审核,两者皆可,混合主餐,麦及制品,贾三灌汤包主要食材为麦及面制品，作为含主荤的混合主餐。
锅盔,早餐,150,一个约150g，作为早餐主食,烤制,原味,待审核,组合组成项,主食,麦及制品,锅盔主要食材为麦及面制品，作为组合餐主食。
甑糕,加餐,200,一份约200g，作为甜点,蒸制,甜味,待审核,组合组成项,其他配菜,米及制品,甑糕主要食材为米及米制品，作为配菜/点心。
酸汤水饺,午餐,250,一份约250g,煮制,酸辣,待审核,两者皆可,主食,麦及制品,酸汤水饺主要食材为麦及面制品，作为组合餐主食。
油泼面,午餐,350,一碗约350g,煮制,香辣,待审核,整餐候选,主食,麦及制品,油泼面主要食材为麦及面制品，作为组合餐主食。
荞面饸饹,午餐,300,一碗约300g,煮制,咸鲜,待审核,整餐候选,主食,麦及制品,荞面饸饹主要食材为麦及面制品，作为组合餐主食。
岐山臊子面,午餐,350,一碗约350g,煮制,酸辣,待审核,整餐候选,主食,麦及制品,岐山臊子面主要食材为麦及面制品，作为组合餐主食。
户县软面,午餐,350,一碗约350g,煮制,咸鲜,待审核,整餐候选,主食,麦及制品,户县软面主要食材为麦及面制品，作为组合餐主食。
杨凌蘸水面,午餐,350,一碗约350g,煮制,香辣,待审核,整餐候选,主食,麦及制品,杨凌蘸水面主要食材为麦及面制品，作为组合餐主食。
葫芦头泡馍,午餐,350,一碗约350g,煮制,咸鲜,待审核,整餐候选,混合主餐,畜肉|动物内脏|麦及制品,葫芦头泡馍主要食材为畜肉、动物内脏、麦及面制品，作为含主荤的混合主餐。
秦镇米皮,午餐,250,一份约250g,凉拌,香辣,待审核,组合组成项,其他配菜,米及制品,秦镇米皮主要食材为米及米制品，作为配菜/点心。
羊肉泡馍,午餐,350,一碗约350g,煮制,鲜香,待审核,整餐候选,混合主餐,畜肉|麦及制品,羊肉泡馍主要食材为畜肉、麦及面制品，作为含主荤的混合主餐。
凉皮,午餐,250,一份约250g,凉拌,香辣,待审核,组合组成项,其他配菜,麦及制品,凉皮主要食材为麦及面制品，作为配菜/点心。
汉中热米皮,午餐,300,一碗约300g,煮制,香辣,待审核,组合组成项,其他配菜,米及制品,汉中热米皮主要食材为米及米制品，作为配菜/点心。
曲曲儿,午餐,300,一碗约300g,煮制,孜然,待审核,两者皆可,混合主餐,麦及制品,曲曲儿主要食材为麦及面制品，作为含主荤的混合主餐。
肉夹馍,午餐,200,一个约200g,烤制,五香,待审核,两者皆可,混合主餐,畜肉|麦及制品,肉夹馍主要食材为畜肉、麦及面制品，作为含主荤的混合主餐。
biangbiang面,午餐,400,一碗约400g,煮制,香辣,待审核,整餐候选,主食,麦及制品,biangbiang面主要食材为麦及面制品，作为组合餐主食。
黄面,午餐,300,一碗约300g,煮制,咸鲜,待审核,整餐候选,主食,麦及制品,黄面主要食材为麦及面制品，作为组合餐主食。
卷筒粉,早餐,200,一份约200g，作为早餐,蒸制,咸鲜,待审核,组合组成项,主食,米及制品,卷筒粉主要食材为米及米制品，作为组合餐主食。
架子肉,晚餐,300,一份，可食部分约300g,烤制,孜然,待审核,两者皆可,混合主餐,畜肉,架子肉主要食材为畜肉，作为含主荤的混合主餐。
南瓜薄皮包子,早餐,200,一笼约200g（4只）,蒸制,原味,待审核,两者皆可,混合主餐,麦及制品|瓜茄类,南瓜薄皮包子主要食材为麦及面制品、瓜茄类蔬菜，作为含主荤的混合主餐。
酿豆腐泡,晚餐,250,一份，可食部分约250g,蒸制,咸鲜,待审核,组合组成项,蛋白质菜,大豆及豆制品,酿豆腐泡主要食材为大豆及豆制品，作为主菜蛋白质。
柠檬鸭,晚餐,300,一份，可食部分约300g,炖煮,酸辣,待审核,组合组成项,蛋白质菜,禽肉,柠檬鸭主要食材为禽肉，作为主菜蛋白质。
肉馕,午餐,250,一个约250g,烤制,孜然,待审核,两者皆可,混合主餐,畜肉|麦及制品,肉馕主要食材为畜肉、麦及面制品，作为含主荤的混合主餐。
南宁老友粉,午餐,400,一碗约400g,煮制,酸辣,待审核,整餐候选,主食,米及制品,南宁老友粉主要食材为米及米制品，作为组合餐主食。
酸奶疙瘩,加餐,50,一份约50g，作为零食,其他,原味,待审核,组合组成项,奶及替代品,奶及奶制品,酸奶疙瘩主要食材为奶及奶制品，作为奶制品。
玛仁糖,加餐,80,一份约80g，作为零食,其他,甜味,待审核,组合组成项,坚果种子,坚果,玛仁糖主要食材为坚果，作为坚果种子。
阳朔啤酒鱼,晚餐,400,一份（整鱼），可食部分约400g,炖煮,鲜香,待审核,组合组成项,蛋白质菜,鱼类,阳朔啤酒鱼主要食材为鱼类，作为主菜蛋白质。
丁丁汤饭,午餐,350,一碗约350g,煮制,咸鲜,待审核,整餐候选,混合主餐,米及制品|畜肉,丁丁汤饭主要食材为米及米制品、畜肉，作为含主荤的混合主餐。
桂林米粉,午餐,350,一碗约350g,煮制,咸鲜,待审核,整餐候选,主食,米及制品,桂林米粉主要食材为米及米制品，作为组合餐主食。
切面汤,午餐,350,一碗约350g,煮制,咸鲜,待审核,组合组成项,主食,麦及制品,切面汤主要食材为麦及面制品，作为组合餐主食。
螺蛳粉,午餐,400,一碗约400g,煮制,酸辣,待审核,整餐候选,混合主餐,米及制品|虾蟹贝类,螺蛳粉主要食材为米及米制品、虾蟹贝等海鲜，作为含主荤的混合主餐。
烤羊排,晚餐,300,一份，可食部分约300g,烤制,孜然,待审核,两者皆可,蛋白质菜,畜肉,烤羊排主要食材为畜肉，作为主菜蛋白质。
肠旺面,午餐,350,一碗约350g,煮制,香辣,待审核,整餐候选,混合主餐,动物内脏|麦及制品,肠旺面主要食材为动物内脏、麦及面制品，作为含主荤的混合主餐。
米肠子面肺子,晚餐,300,一份约300g,煮制,原味,待审核,两者皆可,混合主餐,动物内脏,米肠子面肺子主要食材为动物内脏，作为含主荤的混合主餐。
贵州辣子鸡,晚餐,350,一份，可食部分约350g,炒制,香辣,待审核,组合组成项,蛋白质菜,禽肉,贵州辣子鸡主要食材为禽肉，作为主菜蛋白质。
折耳根凉拌,加餐,150,一份约150g，作为凉菜,凉拌,酸辣,待审核,组合组成项,蔬菜菜肴,根菜,折耳根凉拌主要食材为菜名所示食材，作为配菜蔬菜。
新疆椒麻鸡,晚餐,300,一份，可食部分约300g,凉拌,麻辣,待审核,组合组成项,蛋白质菜,禽肉,新疆椒麻鸡主要食材为禽肉，作为主菜蛋白质。
丝娃娃,加餐,200,一份约200g（含饼皮），作为小吃,其他,酸辣,待审核,组合组成项,其他配菜,麦及制品|叶菜|根菜,丝娃娃主要食材为菜名所示食材，作为配菜/点心。
馕坑肉,晚餐,300,一份，可食部分约300g,烤制,孜然,待审核,两者皆可,混合主餐,畜肉,馕坑肉主要食材为畜肉，作为含主荤的混合主餐。
薄皮包子,早餐,200,一笼约200g（4只）,蒸制,孜然,待审核,两者皆可,混合主餐,麦及制品,薄皮包子主要食材为麦及面制品，作为含主荤的混合主餐。
酸汤鱼,晚餐,400,一份（整鱼），可食部分约400g,炖煮,酸辣,待审核,组合组成项,蛋白质菜,鱼类,酸汤鱼主要食材为鱼类，作为主菜蛋白质。
纳仁,午餐,350,一份约350g,煮制,孜然,待审核,整餐候选,混合主餐,畜肉|麦及制品,纳仁主要食材为畜肉、麦及面制品，作为含主荤的混合主餐。
菠萝饭,午餐,300,一份约300g,炒制,酸甜,待审核,两者皆可,混合主餐,米及制品|水果,菠萝饭主要食材为米及米制品、水果，作为含主荤的混合主餐。
乳饼,加餐,100,一份约100g，作为小吃,煎制,原味,待审核,组合组成项,奶及替代品,奶及奶制品,乳饼主要食材为奶及奶制品，作为奶制品。
新疆炒米粉,午餐,350,一份约350g,炒制,香辣,待审核,两者皆可,主食,米及制品,新疆炒米粉主要食材为米及米制品，作为组合餐主食。
云南野生菌火锅,晚餐,400,一份火锅，食材约400g,煮制,鲜香,待审核,整餐候选,混合主餐,菌菇,云南野生菌火锅主要食材为菌菇，作为含主荤的混合主餐。
红烧河鳗,晚餐,250,一份，可食部分约250g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,鱼类,红烧河鳗主要食材为鱼类，作为主菜蛋白质。
傣味香茅烤鱼,晚餐,400,一份（整鱼），可食部分约400g,烤制,孜然,待审核,两者皆可,混合主餐,鱼类,傣味香茅烤鱼主要食材为鱼类，作为含主荤的混合主餐。
咸豆浆,早餐,300,一碗约300ml，作为早餐,冲泡,咸鲜,待审核,组合组成项,饮品,植物替代饮品,咸豆浆主要食材为植物蛋白饮品，作为饮品。
宣威火腿,加餐,100,一份约100g，作为配餐/凉菜,其他,五香,待审核,组合组成项,蛋白质菜,畜肉,宣威火腿主要食材为畜肉，作为主菜蛋白质。
蟹炒年糕,晚餐,300,一份，可食部分约300g,炒制,咸鲜,待审核,两者皆可,混合主餐,虾蟹贝类|米及制品,蟹炒年糕主要食材为虾蟹贝等海鲜、米及米制品，作为含主荤的混合主餐。
清蒸大闸蟹,晚餐,250,两只/份，可食部分约250g,蒸制,鲜香,待审核,组合组成项,蛋白质菜,虾蟹贝类,清蒸大闸蟹主要食材为虾蟹贝等海鲜，作为主菜蛋白质。
上海葱油饼,早餐,150,一份约150g，作为早餐,煎制,咸鲜,待审核,组合组成项,主食,麦及制品,上海葱油饼主要食材为麦及面制品，作为组合餐主食。
